soil_type,N,P,K,ph,organic_carbon,ec,health_score,health_class
Black,133.6,63.4,9.5,3.96,1.63,1.94,52.3,Moderate
Desert,110.9,129.2,141.6,7.34,2.07,2.17,78.1,Healthy
Alluvial,63.2,129.1,149.4,6.11,0.2,3.48,57.1,Moderate
Laterite,142.9,40.4,114.2,7.3,1.79,0.7,78.7,Healthy
Laterite,106.7,100.8,40.5,8.27,0.38,1.26,72.6,Moderate
Alluvial,17.2,17.2,143.9,3.53,2.88,1.11,41.7,Poor
Red,110.2,43.4,26.8,4.59,1.57,1.92,81.2,Healthy
Black,68.4,137.8,88.3,4.05,1.7,0.33,68.8,Moderate
Desert,75.7,14.0,48.5,8.34,0.77,2.23,80.0,Healthy
Mountain,80.8,104.6,145.8,6.86,1.99,0.48,86.3,Healthy
Desert,140.8,24.7,141.8,5.13,2.0,3.32,73.4,Moderate
Red,119.5,69.4,169.3,7.92,2.71,2.29,64.3,Moderate
Alluvial,137.8,46.7,38.9,7.4,1.27,3.51,76.8,Healthy
Desert,143.3,22.3,37.7,7.15,1.08,0.64,71.9,Moderate
Desert,32.2,4.4,69.4,3.81,3.0,3.94,31.1,Poor
Alluvial,17.8,125.1,81.3,4.48,2.41,0.39,55.1,Moderate
Mountain,25.1,58.9,146.1,6.09,2.45,3.87,65.2,Moderate
Laterite,84.7,100.1,206.5,7.04,2.39,3.89,60.1,Moderate
Laterite,41.6,118.4,136.9,7.41,0.96,0.15,78.9,Healthy
Black,36.1,107.9,129.7,5.71,1.1,0.67,73.8,Moderate
Red,53.6,70.1,10.9,4.98,2.65,2.64,65.3,Moderate
Mountain,95.1,29.5,121.2,8.9,0.48,3.52,71.0,Moderate
Desert,133.8,21.1,134.7,6.62,2.99,2.43,65.9,Moderate
Red,0.3,143.4,86.8,6.93,0.13,2.53,38.7,Poor
Mountain,140.3,35.4,178.8,8.11,0.8,0.67,66.0,Moderate
Desert,81.8,13.9,78.3,7.19,1.59,3.38,82.3,Healthy
Mountain,118.1,94.4,7.6,4.57,0.71,0.87,65.9,Moderate
Black,129.7,125.9,199.2,7.04,0.57,2.49,50.5,Moderate
Desert,9.1,72.2,3.5,7.29,0.96,1.42,59.4,Moderate
Black,113.6,42.9,159.1,6.73,0.29,3.71,74.1,Moderate
Red,72.1,86.6,89.5,4.16,1.45,1.1,82.7,Healthy
Mountain,64.2,127.1,53.8,5.15,0.76,2.93,75.2,Healthy
Laterite,47.4,116.9,64.9,6.9,2.79,3.67,63.6,Moderate
Mountain,67.7,80.2,67.0,6.35,2.78,3.01,75.1,Healthy
Alluvial,55.5,32.8,20.2,3.53,0.41,2.28,59.7,Moderate
Desert,141.0,49.9,198.8,5.06,2.57,2.65,46.9,Poor
Laterite,36.9,22.2,150.5,5.18,1.95,1.23,82.0,Healthy
Black,66.9,78.6,186.2,8.98,0.81,2.23,60.6,Moderate
Black,33.5,69.3,12.5,8.25,1.24,1.23,72.5,Moderate
Mountain,96.0,64.8,3.0,8.23,1.68,0.53,70.5,Moderate
Black,28.2,17.1,187.9,6.81,1.08,1.32,69.5,Moderate
Mountain,28.8,116.3,90.5,7.96,0.36,1.19,63.5,Moderate
Mountain,132.8,141.6,141.4,7.62,2.97,1.77,51.1,Moderate
Black,21.3,104.1,158.4,7.2,2.74,1.55,57.8,Moderate
Desert,40.9,121.3,24.4,8.61,2.85,2.11,38.3,Poor
Alluvial,113.1,41.5,103.5,8.48,0.9,1.04,83.1,Healthy
Black,2.2,40.4,113.6,6.54,2.18,3.21,63.2,Moderate
Desert,21.2,3.0,161.1,8.46,0.31,2.27,32.9,Poor
Desert,120.8,126.1,127.7,8.83,1.13,1.76,67.6,Moderate
Alluvial,88.0,115.9,1.1,4.37,0.14,2.39,36.4,Poor
Mountain,90.4,144.9,179.0,7.66,2.08,1.45,66.6,Moderate
Desert,9.1,68.7,118.9,7.12,2.43,0.41,71.7,Moderate
Desert,86.3,113.8,197.0,4.82,0.86,3.02,57.7,Moderate
Red,123.1,27.3,0.0,8.78,1.56,2.01,61.1,Moderate
Mountain,141.7,124.9,174.8,7.13,1.97,0.95,60.3,Moderate
Red,7.2,110.1,108.3,7.05,0.74,3.82,56.5,Moderate
Desert,106.7,13.4,61.6,8.48,0.15,1.43,63.2,Moderate
Mountain,48.5,92.4,160.6,7.57,0.43,1.8,66.6,Moderate
Desert,131.0,112.7,198.2,3.73,0.38,0.03,36.1,Poor
Alluvial,71.7,64.0,9.5,8.51,1.33,2.08,74.2,Moderate
Black,84.3,64.9,209.0,6.47,0.68,0.47,77.0,Healthy
Laterite,68.9,35.6,62.6,8.94,2.96,0.08,65.2,Moderate
Mountain,83.6,146.8,151.0,6.07,1.81,1.39,78.4,Healthy
Laterite,68.7,4.3,97.0,4.17,1.34,1.35,70.1,Moderate
Black,118.6,131.8,68.4,4.85,2.28,2.0,68.4,Moderate
Laterite,50.3,125.7,19.4,6.38,0.24,2.83,53.3,Moderate
Red,144.3,47.9,87.4,8.07,0.47,1.27,68.6,Moderate
Black,85.0,91.8,27.5,5.35,2.45,1.99,68.6,Moderate
Desert,84.2,52.5,5.0,6.23,0.18,0.91,72.2,Moderate
Desert,6.7,130.9,134.3,4.18,2.65,2.09,35.8,Poor
Mountain,101.3,16.9,130.7,5.88,1.96,0.44,90.3,Healthy
Desert,36.3,53.0,58.3,5.81,1.06,3.32,81.4,Healthy
Red,68.1,3.9,171.6,5.87,2.39,1.5,66.3,Moderate
Black,135.4,136.7,91.7,3.86,1.28,1.96,57.1,Moderate
Red,0.3,119.1,208.9,3.72,0.64,0.73,34.2,Poor
Red,135.7,85.6,19.8,5.85,0.84,1.18,69.2,Moderate
Black,147.1,14.8,170.6,5.22,2.77,3.72,35.3,Poor
Red,121.1,62.2,13.9,8.63,2.12,2.78,66.2,Moderate
Alluvial,19.0,63.8,81.1,4.37,1.19,1.9,68.4,Moderate
Laterite,62.4,36.5,30.0,7.27,0.66,0.11,93.3,Healthy
Mountain,128.8,12.4,159.9,6.25,2.78,3.02,56.0,Moderate
Laterite,115.1,60.3,151.7,6.44,0.4,0.93,85.5,Healthy
Laterite,42.0,47.1,94.9,7.11,2.22,3.32,85.4,Healthy
Laterite,49.0,30.2,179.4,5.47,0.86,3.07,73.0,Moderate
Laterite,79.7,61.2,98.6,7.53,0.74,1.35,98.2,Healthy
Desert,7.0,148.7,83.5,6.42,0.48,3.76,44.6,Poor
Alluvial,118.1,96.2,41.4,6.99,0.81,2.62,84.0,Healthy
Desert,123.1,28.3,36.7,7.48,0.31,2.01,82.2,Healthy
Mountain,39.8,119.8,6.1,5.32,2.36,3.58,48.5,Poor
Red,51.6,21.6,58.7,5.58,1.56,1.19,92.8,Healthy
Black,29.8,23.6,134.6,4.8,2.39,1.35,72.1,Moderate
Red,118.1,23.9,55.5,7.04,0.79,0.22,99.7,Healthy
Desert,131.5,14.1,162.2,6.47,2.86,3.02,56.7,Moderate
Desert,76.9,72.1,207.6,7.51,1.93,0.41,80.2,Healthy
Mountain,126.7,98.8,111.0,4.69,0.87,3.6,66.4,Moderate
Black,34.4,42.6,156.3,5.37,1.73,2.03,79.4,Healthy
Desert,142.6,58.9,84.0,5.08,0.44,3.23,54.6,Moderate
Mountain,100.0,116.3,110.3,6.35,1.0,3.27,78.0,Healthy
Desert,111.8,3.9,73.6,5.76,0.14,1.23,68.8,Moderate
Mountain,67.9,66.9,179.2,7.09,0.58,2.37,79.8,Healthy
Red,124.0,98.3,8.3,5.35,2.44,2.47,57.4,Moderate
Desert,61.8,149.5,12.6,5.47,0.21,1.35,51.2,Moderate
Alluvial,122.2,109.7,99.1,3.66,0.74,0.92,74.7,Moderate
Laterite,145.8,131.3,85.2,6.39,0.63,0.01,70.4,Moderate
Mountain,17.8,110.0,123.5,4.89,1.57,3.75,57.0,Moderate
Laterite,39.8,46.8,38.8,7.45,0.42,3.39,72.1,Moderate
Black,70.0,136.8,59.6,4.13,1.46,2.06,66.9,Moderate
Alluvial,144.2,19.4,122.7,8.84,1.64,1.98,60.6,Moderate
Mountain,96.3,123.1,112.4,4.11,1.96,1.13,74.2,Moderate
Mountain,64.1,20.6,143.3,6.1,0.9,1.39,93.8,Healthy
Desert,42.4,135.0,34.5,7.88,0.78,3.85,59.3,Moderate
Red,104.6,54.5,43.4,5.57,0.4,1.19,82.7,Healthy
Red,55.1,42.3,136.6,6.8,0.57,1.98,83.0,Healthy
Red,71.3,110.8,152.2,8.12,0.88,3.05,65.6,Moderate
Laterite,19.7,57.8,31.8,6.29,0.41,0.36,76.8,Healthy
Red,75.7,110.0,71.2,7.2,1.47,1.42,91.5,Healthy
Alluvial,75.0,44.4,30.1,4.13,0.92,2.25,79.5,Healthy
Mountain,26.1,110.7,48.6,3.82,1.33,1.41,64.4,Moderate
Red,148.2,32.7,97.0,3.6,2.68,3.57,40.5,Poor
Red,64.9,87.8,154.5,7.82,1.68,1.11,85.5,Healthy
Red,136.5,21.7,171.2,4.57,0.44,1.23,58.7,Moderate
Alluvial,109.7,87.4,1.5,6.3,0.39,2.92,60.0,Moderate
Desert,21.3,12.1,84.9,6.62,2.86,3.39,56.7,Moderate
Laterite,62.3,129.1,80.9,6.49,1.4,2.13,83.0,Healthy
Alluvial,142.1,112.7,118.0,8.51,2.77,0.43,48.7,Poor
Desert,127.4,50.6,125.5,7.51,1.26,3.94,80.3,Healthy
Desert,119.4,147.8,162.1,6.67,2.32,0.14,69.7,Moderate
Laterite,103.7,31.3,21.3,4.95,1.29,1.19,85.1,Healthy
Mountain,107.0,36.6,175.8,8.95,2.01,1.8,71.8,Moderate
Mountain,111.6,71.8,153.6,6.33,1.27,3.8,79.7,Healthy
Black,61.0,91.6,146.4,3.95,0.57,1.55,70.1,Moderate
Desert,40.0,113.6,106.5,7.4,1.66,1.56,76.8,Healthy
Alluvial,4.5,46.2,148.5,8.86,0.2,0.77,45.8,Poor
Laterite,109.2,91.6,175.7,5.4,0.6,3.26,61.8,Moderate
Desert,142.6,1.1,203.1,3.83,0.47,1.53,25.1,Poor
Red,46.5,129.0,51.1,7.37,2.29,1.5,73.0,Moderate
Red,22.9,40.5,170.5,3.8,2.33,3.92,48.7,Poor
Mountain,107.8,32.8,59.6,4.17,1.46,0.57,89.4,Healthy
Black,62.4,130.2,94.0,4.0,1.94,2.45,68.8,Moderate
Black,81.9,138.3,182.1,6.89,2.97,0.48,57.3,Moderate
Desert,110.1,62.2,189.1,4.57,0.14,0.07,64.8,Moderate
Mountain,88.1,15.4,93.9,8.62,1.69,1.2,77.9,Healthy
Black,67.0,94.3,76.2,7.14,2.71,2.16,83.1,Healthy
Mountain,87.0,85.5,54.1,3.96,0.81,0.19,79.8,Healthy
Black,96.5,100.2,29.5,5.67,1.89,2.97,80.8,Healthy
Black,69.2,108.0,192.9,7.5,0.87,0.15,81.2,Healthy
Laterite,10.0,115.7,97.2,8.29,0.74,3.08,55.7,Moderate
Mountain,49.1,94.9,14.8,5.23,1.49,3.84,59.8,Moderate
Black,61.0,14.8,209.2,7.82,0.52,3.65,55.9,Moderate
Red,117.7,35.8,135.1,7.75,0.57,3.48,80.8,Healthy
Black,136.1,47.5,20.8,8.56,1.75,0.31,70.2,Moderate
Mountain,77.1,141.4,153.6,4.67,1.93,2.35,61.0,Moderate
Red,67.2,55.9,153.1,6.61,1.23,2.18,83.0,Healthy
Alluvial,9.9,80.2,52.8,8.11,1.53,2.38,66.8,Moderate
Desert,136.3,60.9,150.5,4.68,1.56,3.2,60.4,Moderate
Black,29.4,89.5,118.1,8.39,0.96,0.7,69.3,Moderate
Desert,102.6,17.9,78.0,6.65,1.04,0.65,94.9,Healthy
Alluvial,123.7,100.6,119.0,6.58,1.67,2.48,86.2,Healthy
Desert,8.6,106.4,84.9,8.23,1.12,3.18,55.3,Moderate
Laterite,132.8,43.1,167.1,7.68,0.9,1.54,74.8,Moderate
Laterite,72.1,15.8,183.0,7.48,2.25,0.63,71.5,Moderate
Laterite,116.5,46.2,39.3,3.82,1.07,1.88,81.5,Healthy
Mountain,106.0,67.8,88.6,5.16,2.39,1.27,83.9,Healthy
Alluvial,104.2,123.5,201.8,8.19,2.59,0.76,55.9,Moderate
Black,138.9,95.3,138.0,4.8,0.48,1.75,56.7,Moderate
Black,138.5,74.2,155.0,5.99,1.84,1.65,76.6,Healthy
Desert,106.6,114.4,144.2,7.53,2.95,2.78,61.3,Moderate
Desert,120.5,57.4,176.0,4.05,2.65,0.64,68.2,Moderate
Alluvial,138.2,131.4,13.7,8.96,2.09,1.32,42.3,Poor
Desert,82.4,21.1,161.8,6.86,2.77,0.99,75.9,Healthy
Black,142.3,35.1,177.1,6.78,2.33,1.82,64.2,Moderate
Alluvial,20.6,6.4,27.1,6.95,2.18,1.46,61.7,Moderate
Black,140.6,103.1,120.3,4.47,0.7,0.03,63.5,Moderate
Alluvial,52.6,136.2,99.6,5.79,2.04,3.87,77.3,Healthy
Laterite,80.5,83.3,179.0,6.24,1.64,1.62,83.9,Healthy
Black,29.1,115.8,122.9,8.1,1.69,2.08,69.8,Moderate
Alluvial,19.5,75.9,120.4,6.19,1.73,2.71,73.0,Moderate
Red,86.7,68.6,19.0,6.01,2.09,3.35,79.8,Healthy
Mountain,111.3,71.0,171.4,4.51,0.77,3.51,67.6,Moderate
Alluvial,22.9,74.4,198.2,6.76,1.57,1.02,72.3,Moderate
Black,118.3,90.2,62.8,6.11,2.26,0.26,86.0,Healthy
Red,120.1,19.5,59.3,3.77,2.51,1.98,70.0,Moderate
Mountain,140.8,37.8,70.2,7.94,1.51,2.95,77.1,Healthy
Laterite,22.3,38.8,168.9,8.06,1.1,2.74,61.4,Moderate
Mountain,58.5,120.3,140.2,4.54,2.07,1.25,69.1,Moderate
Red,35.7,44.1,132.0,7.86,2.44,3.0,68.1,Moderate
Black,102.3,73.2,23.6,4.35,0.59,0.43,72.5,Moderate
Desert,56.8,111.6,167.7,5.54,2.04,2.13,68.3,Moderate
Laterite,85.8,8.0,170.1,5.81,2.39,0.61,69.5,Moderate
Red,48.9,54.6,178.3,5.58,1.75,2.95,69.9,Moderate
Desert,72.3,3.0,146.8,8.54,1.11,0.27,71.5,Moderate
Red,5.3,59.4,115.3,5.77,0.36,0.3,70.4,Moderate
Black,143.4,44.7,36.0,6.25,1.11,2.38,72.7,Moderate
Black,17.5,49.0,63.4,4.28,2.27,1.16,58.9,Moderate
Laterite,21.1,104.5,13.9,5.27,1.14,3.05,53.1,Moderate
Alluvial,37.0,81.6,126.2,4.39,0.94,1.35,74.3,Moderate
Alluvial,66.6,130.9,9.4,8.15,2.29,3.39,53.0,Moderate
Desert,125.1,111.3,8.3,4.73,1.57,2.47,56.9,Moderate
Laterite,23.7,33.3,102.7,5.47,2.02,0.57,81.0,Healthy
Red,100.3,68.3,116.6,8.71,1.81,1.62,82.0,Healthy
Red,112.7,67.6,78.1,4.33,0.91,3.07,82.4,Healthy
Red,38.7,132.4,143.6,6.88,1.32,1.04,66.3,Moderate
Mountain,18.1,16.2,189.7,5.74,0.64,0.57,61.2,Moderate
Mountain,126.8,48.2,126.8,3.96,2.38,1.98,68.3,Moderate
Laterite,8.2,31.8,164.1,7.81,0.78,3.03,55.3,Moderate
Alluvial,37.4,137.8,64.1,7.6,2.1,2.86,63.1,Moderate
Alluvial,104.7,34.0,206.2,5.11,0.48,1.35,69.1,Moderate
Laterite,139.4,0.3,122.8,3.6,0.84,3.43,38.7,Poor
Desert,105.4,131.3,75.2,6.73,2.76,2.05,72.4,Moderate
Mountain,55.4,29.8,2.8,5.56,2.62,1.09,72.6,Moderate
Alluvial,128.3,147.6,154.9,5.52,2.14,3.13,57.3,Moderate
Alluvial,30.4,17.3,52.2,8.22,2.15,3.79,57.3,Moderate
Red,103.7,49.4,95.5,8.95,1.38,3.66,77.9,Healthy
Black,55.1,5.9,57.3,7.32,1.81,0.25,80.7,Healthy
Black,81.2,33.4,110.8,7.79,1.86,1.63,92.6,Healthy
Laterite,33.4,129.8,15.8,5.79,1.58,1.41,64.6,Moderate
Black,5.7,70.8,58.1,5.94,1.79,0.62,79.6,Healthy
Laterite,108.5,124.4,12.9,5.1,2.86,2.32,48.2,Poor
Mountain,0.1,87.1,87.1,7.31,0.21,0.66,58.3,Moderate
Alluvial,107.7,109.1,107.2,8.56,0.47,1.97,72.5,Moderate
Desert,48.0,6.4,133.0,7.27,1.15,2.81,71.7,Moderate
Black,23.9,45.4,130.6,5.95,0.7,2.48,75.3,Healthy
Mountain,22.6,12.8,201.1,7.89,1.7,2.21,52.9,Moderate
Laterite,137.6,3.3,128.3,7.76,2.33,0.45,65.4,Moderate
Red,145.2,108.9,36.1,8.3,2.58,2.89,50.9,Moderate
Laterite,81.8,29.4,67.8,3.82,2.85,0.7,78.4,Healthy
Red,49.8,29.8,74.0,7.08,0.96,1.95,86.1,Healthy
Laterite,92.3,31.5,102.2,6.43,2.5,1.11,94.0,Healthy
Laterite,114.0,110.6,188.0,7.29,2.68,3.73,54.5,Moderate
Desert,88.1,58.2,79.4,5.07,0.14,1.38,76.7,Healthy
Mountain,103.9,141.5,15.1,6.9,1.86,2.76,71.7,Moderate
Red,61.6,13.8,184.1,7.33,1.39,0.76,77.6,Healthy
Laterite,37.2,11.1,118.7,6.31,0.92,3.97,71.5,Moderate
Mountain,136.5,58.1,155.8,7.47,2.59,3.31,60.7,Moderate
Alluvial,9.4,147.9,30.8,5.83,1.29,3.23,50.6,Moderate
Black,44.1,81.2,78.3,4.53,2.1,3.98,73.1,Moderate
Mountain,54.4,129.6,29.9,8.24,0.88,0.86,74.0,Moderate
Red,49.4,139.9,90.5,6.86,0.89,2.57,73.4,Moderate
Laterite,97.8,40.3,55.1,8.61,1.54,0.82,87.4,Healthy
Red,18.5,53.5,165.3,6.03,1.76,3.52,68.9,Moderate
Laterite,111.2,32.7,178.7,5.52,1.02,1.61,85.0,Healthy
Desert,104.8,51.6,150.9,8.04,0.42,1.56,77.4,Healthy
Desert,37.9,132.9,151.1,4.8,2.31,0.77,59.8,Moderate
Mountain,134.0,19.8,188.9,5.69,1.42,2.64,63.6,Moderate
Black,34.6,107.6,205.6,4.2,0.71,3.85,42.7,Poor
Desert,69.5,143.5,174.1,6.49,2.56,1.9,59.6,Moderate
Desert,53.1,96.2,59.3,8.09,2.47,2.84,74.5,Moderate
Mountain,126.1,42.1,151.5,3.69,1.88,3.94,61.9,Moderate
Red,59.9,70.6,71.2,6.61,1.85,2.58,90.7,Healthy
Red,50.7,61.4,144.2,8.57,0.32,0.79,70.6,Moderate
Desert,11.9,73.9,70.3,3.87,1.3,3.74,56.2,Moderate
Laterite,3.9,40.6,22.9,8.6,2.87,2.35,48.1,Poor
Red,32.6,102.6,34.0,4.49,1.15,3.36,57.7,Moderate
Red,104.3,88.3,51.8,5.52,1.35,1.78,92.6,Healthy
Desert,110.6,30.5,76.4,8.56,1.29,2.2,78.6,Healthy
Desert,15.6,145.0,77.6,6.36,1.57,3.24,56.1,Moderate
Desert,52.0,110.0,37.7,6.03,1.25,2.11,78.1,Healthy
Red,55.5,82.0,50.8,8.57,2.39,3.09,69.6,Moderate
Mountain,106.7,43.2,11.7,6.9,0.11,2.59,69.1,Moderate
Mountain,0.7,146.1,124.4,3.69,2.73,3.66,16.7,Poor
Laterite,28.7,83.8,58.3,3.71,0.82,0.07,67.4,Moderate
Desert,68.2,50.0,145.0,6.56,1.1,0.08,92.5,Healthy
Black,70.0,85.6,164.1,4.24,0.74,2.03,66.7,Moderate
Laterite,99.6,115.4,158.7,6.0,1.41,3.4,69.1,Moderate
Desert,87.6,138.3,113.8,7.7,1.49,2.87,75.0,Healthy
Red,0.5,34.1,66.2,5.67,2.84,1.43,59.8,Moderate
Desert,143.1,93.5,96.3,5.84,2.59,0.09,67.1,Moderate
Red,73.8,149.8,28.5,6.78,2.74,1.02,67.5,Moderate
Desert,65.2,123.1,56.2,8.5,2.35,0.68,78.2,Healthy
Alluvial,79.1,14.7,167.4,5.3,0.25,2.63,56.3,Moderate
Mountain,13.7,93.7,63.8,7.71,0.97,1.42,66.2,Moderate
Desert,1.1,57.7,27.1,6.71,2.63,1.28,67.7,Moderate
Laterite,120.2,113.3,42.1,5.71,2.14,0.17,84.6,Healthy
Mountain,36.6,11.0,44.4,5.7,1.2,2.33,73.6,Moderate
Laterite,71.0,23.0,96.8,4.36,0.85,0.05,83.7,Healthy
Desert,16.5,61.7,209.5,4.28,1.77,3.81,47.0,Poor
Desert,37.2,1.7,6.2,8.61,1.42,1.04,47.8,Poor
Mountain,67.9,2.4,110.7,7.11,0.31,0.55,72.1,Moderate
Mountain,0.9,149.3,101.2,8.0,1.46,0.09,62.8,Moderate
Black,103.6,99.3,36.9,5.29,1.32,2.27,79.3,Healthy
Alluvial,76.7,14.7,73.4,7.85,1.1,1.88,87.8,Healthy
Mountain,25.6,134.1,20.5,8.57,1.43,2.55,49.1,Poor
Black,51.6,98.3,123.2,7.43,2.84,2.89,70.1,Moderate
Mountain,28.9,58.0,173.9,3.93,0.98,3.71,52.0,Moderate
Desert,65.4,96.0,146.6,6.27,1.58,2.92,81.9,Healthy
Black,87.3,137.8,69.2,8.42,0.42,3.41,59.0,Moderate
Mountain,86.2,37.3,56.7,5.43,2.34,1.08,93.8,Healthy
Alluvial,0.5,112.7,57.6,7.18,2.85,2.19,46.5,Poor
Desert,133.1,91.3,204.5,5.51,2.84,2.97,42.2,Poor
Alluvial,12.6,99.9,198.8,7.9,0.67,1.27,58.2,Moderate
Red,33.1,8.2,154.7,8.08,2.8,2.05,45.1,Poor
Alluvial,3.4,11.4,82.5,5.39,2.8,3.14,47.3,Poor
Red,110.0,109.8,19.4,4.78,1.37,0.0,72.4,Moderate
Black,116.0,8.9,31.8,6.57,0.85,1.76,84.6,Healthy
Mountain,94.3,67.5,87.8,4.13,2.92,1.87,70.0,Moderate
Mountain,55.7,33.0,106.2,3.71,0.33,0.89,71.8,Moderate
Black,95.8,126.6,144.6,7.18,1.97,3.19,74.8,Moderate
Black,18.4,91.4,26.7,5.76,0.21,0.47,57.8,Moderate
Mountain,62.1,59.9,38.7,5.15,1.22,3.04,89.8,Healthy
Desert,60.6,57.7,50.6,6.9,1.56,1.28,100.0,Healthy
Desert,34.5,105.4,74.3,5.21,1.53,2.65,74.2,Moderate
Black,126.0,1.2,30.0,4.45,0.19,2.13,50.0,Moderate
Red,89.6,26.9,77.3,4.15,0.82,1.57,88.7,Healthy
Black,137.2,17.9,14.5,6.0,2.6,2.38,62.7,Moderate
Black,132.4,131.5,138.4,3.99,2.85,2.81,36.0,Poor
Red,79.5,82.5,181.4,7.89,0.71,3.3,75.4,Healthy
Black,29.3,37.0,43.2,8.25,0.61,3.82,68.1,Moderate
Mountain,87.3,52.9,92.9,6.29,2.68,3.91,80.4,Healthy
Black,138.2,147.3,179.6,7.3,0.13,0.34,42.7,Poor
Desert,146.6,2.6,79.3,4.59,2.33,3.92,37.2,Poor
Mountain,64.7,114.6,178.0,7.94,1.41,0.19,69.5,Moderate
Red,127.3,148.3,159.9,6.97,2.5,3.22,59.2,Moderate
Alluvial,97.8,128.7,3.2,4.83,0.48,0.15,54.0,Moderate
Mountain,14.8,120.0,86.1,7.78,1.37,3.25,59.6,Moderate
Alluvial,46.6,123.5,177.5,8.47,1.16,1.87,60.9,Moderate
Alluvial,52.0,132.5,124.1,6.59,0.62,0.59,79.2,Healthy
Alluvial,31.5,77.7,78.1,6.78,0.36,3.09,66.1,Moderate
Red,51.5,133.7,64.6,8.64,2.37,1.9,57.8,Moderate
Red,118.0,3.8,170.9,5.77,2.93,1.53,58.5,Moderate
Desert,125.6,107.2,30.4,6.45,2.51,1.63,72.4,Moderate
Mountain,72.7,43.0,56.3,8.61,2.08,1.84,85.9,Healthy
Alluvial,82.1,137.7,202.7,8.54,0.68,0.78,55.6,Moderate
Desert,64.5,71.6,209.8,6.48,1.27,3.6,74.4,Moderate
Desert,93.2,42.7,16.7,7.69,1.65,2.73,85.9,Healthy
Red,107.5,51.5,172.0,4.01,1.25,0.3,76.2,Healthy
Black,64.4,6.9,166.8,6.52,1.72,1.33,72.9,Moderate
Laterite,31.8,84.3,103.8,7.74,1.43,2.63,77.0,Healthy
Red,116.2,79.9,43.3,5.01,2.47,2.43,79.2,Healthy
Alluvial,53.5,72.1,205.3,7.29,0.28,3.81,62.2,Moderate
Laterite,78.7,80.3,141.1,8.45,0.72,3.79,69.4,Moderate
Desert,22.8,33.7,183.2,4.02,0.16,2.8,37.5,Poor
Mountain,23.9,146.7,168.7,3.88,1.6,2.63,41.8,Poor
Red,88.5,133.6,109.4,5.57,0.78,3.72,70.9,Moderate
Laterite,147.3,31.2,118.3,6.46,1.98,1.54,78.1,Healthy
Red,142.9,14.7,207.8,5.91,1.4,2.88,46.5,Poor
Red,4.5,93.6,64.0,6.2,0.33,3.21,46.3,Poor
Black,21.8,117.1,205.6,3.58,0.39,0.86,34.2,Poor
Laterite,96.0,101.3,52.7,8.44,0.99,0.64,82.9,Healthy
Alluvial,99.1,38.9,51.7,3.78,2.75,0.38,76.8,Healthy
Laterite,24.2,55.5,190.1,7.97,1.17,3.84,61.7,Moderate
Desert,118.1,24.9,25.9,5.15,0.39,3.76,72.2,Moderate
Desert,75.6,114.4,61.9,8.51,1.02,1.94,73.3,Moderate
Red,78.8,53.1,53.4,7.27,2.06,1.7,97.8,Healthy
Red,124.1,95.0,0.3,5.27,2.62,3.0,45.8,Poor
Laterite,23.0,44.6,188.1,7.23,2.4,2.12,63.8,Moderate
Laterite,20.1,54.9,98.5,3.87,2.07,2.99,66.2,Moderate
Red,104.9,38.4,86.7,7.35,1.99,2.98,90.2,Healthy
Desert,69.8,109.6,193.9,8.46,1.42,3.29,55.7,Moderate
Black,117.7,142.1,81.9,7.14,1.76,2.25,83.5,Healthy
Laterite,146.0,6.6,78.4,4.99,0.32,0.42,51.2,Moderate
Red,3.4,135.0,9.5,6.75,0.6,2.86,37.3,Poor
Desert,119.6,82.1,160.4,3.58,0.55,0.93,67.3,Moderate
Black,92.9,52.7,11.4,3.71,2.38,1.1,67.1,Moderate
Desert,110.3,132.7,146.8,6.48,0.64,2.43,73.0,Moderate
Alluvial,129.6,2.9,178.9,4.47,1.73,0.33,53.7,Moderate
Alluvial,89.9,130.5,171.3,7.99,1.98,1.35,66.5,Moderate
Desert,35.6,95.6,49.5,7.41,0.16,3.21,60.3,Moderate
Red,135.6,136.6,0.5,6.42,2.37,2.25,43.5,Poor
Alluvial,49.7,78.9,79.0,4.69,1.51,1.7,76.5,Healthy
Black,29.6,18.6,110.1,7.65,0.48,0.81,80.6,Healthy
Alluvial,140.4,49.0,93.4,4.63,2.36,2.33,63.3,Moderate
Desert,26.8,20.4,159.3,7.91,2.35,3.18,62.1,Moderate
Red,21.3,105.4,154.6,5.32,1.57,0.16,68.1,Moderate
Laterite,16.0,74.9,171.6,3.92,0.84,2.92,44.0,Poor
Alluvial,96.9,16.2,110.4,6.12,1.18,1.46,100.0,Healthy
Mountain,149.6,14.2,183.9,8.21,2.2,2.99,38.4,Poor
Alluvial,131.4,131.8,73.0,8.48,0.25,1.8,49.6,Poor
Red,42.4,97.4,158.8,8.42,2.32,3.52,51.6,Moderate
Laterite,21.0,90.8,52.8,3.67,0.16,3.68,41.4,Poor
Mountain,107.0,49.0,183.0,8.88,0.86,0.19,72.9,Moderate
Laterite,117.4,57.0,129.2,7.08,1.4,2.3,95.0,Healthy
Red,66.0,0.0,123.9,3.93,0.25,2.42,49.2,Poor
Desert,135.6,97.5,88.8,5.24,2.95,2.95,53.0,Moderate
Mountain,11.4,6.5,54.3,5.54,1.4,0.03,63.3,Moderate
Alluvial,16.5,61.3,73.5,4.78,1.34,1.14,75.8,Healthy
Laterite,34.1,58.5,39.9,4.82,0.33,0.03,69.1,Moderate
